Total Volume,4046,Total Bags,Small Bags,Large Bags
1347.62,14.29,674.86,443.33,231.53
52253.69,2191.94,15470.69,13112.36,2358.33
4529.02,334.9,1761.31,719.19,1042.12
18494.23,4117.08,6044.11,200.3,5843.81
40245.19,4205.24,16099.27,16093.19,6.08
7199.17,7.88,6600.52,6600.52,0
3957.04,620.65,1390.65,1390.65,0
17775.41,11276.67,1528.25,726.67,801.58
23344.7,3959.16,7041.34,4404.5,2636.84
24954.8,8938.08,1085.06,0,1085.06
5749.75,56.66,2720.44,2635.69,84.75
5971.62,89.37,799.44,793.33,6.11
9164.67,4447.66,148.8,148.8,0
14355.23,791.25,64.6,37.93,26.67
46229.47,8112.46,0,0,0
3977.03,456.99,1744.2,1580,164.2
30582.99,8521.29,11817.46,11330.12,487.34
6356.7,837.43,336.13,106.12,230.01
1350.16,0,1235.94,1235.94,0
1346.16,915.05,414.55,414.55,0
556368.86,207494.87,131808.1,95964.83,35843.27
11341.36,5070.74,3252.5,2216.67,1035.83
1705.39,14.07,1592.8,1592.8,0
17148.36,546.41,3435.38,3424.06,11.32
1829.78,0,398.28,373.33,24.95
7751.94,65.96,6918.32,6918.32,0
208956.81,28111.21,96496.4,88974.66,7521.74
4713.35,370.07,1829.94,1829.94,0
17064.45,488.59,9044.5,629.95,8414.55
7507.51,371.44,2733.12,590.47,2142.65
10777.27,4802.52,5577.49,5384.85,192.64
18837.12,848.8,9094.28,768.46,8325.82
1643.43,258.14,468.44,450,18.44
5193.18,135.24,4853.24,4853.24,0
10501.75,29.41,6937.31,6925.43,11.88
2583.94,114.51,1416.7,1027.03,389.67
3706.68,1943.32,1613.33,1593.33,20
11858.2,2926.28,5387.7,5100.95,286.75
4017.83,0,2341.83,273.33,2068.5
6346.82,757.35,5554.93,5548.26,6.67
4534.36,209.22,2247.7,27.22,2220.48
4106.49,588.36,3518.13,3458.13,60
32608.62,4923.95,12973.12,9947.04,3026.08
12400.93,0,12227.77,12227.77,0
5598.49,2770.42,2674.44,2674.44,0
8087.23,1880.06,2966.94,2915.48,51.46
5896.38,608.4,5090.53,5069.15,21.38
51258.32,3340.91,23879.91,8502.6,15377.31
12807.68,226.31,7317.57,6302.22,1015.35
8833.79,250.93,3550.96,2973.38,577.58
4384.51,1687.59,462.37,462.37,0
20997.51,2752.28,9927.64,9927.64,0
21276.09,1014.44,31.11,31.11,0
9465.99,479.32,5136.42,3837.2,1299.22
110395.86,27167.11,66461,46304.57,20156.43
3169.8,38.57,2485.67,23.68,2461.99
4788.38,398.73,2546.19,2546.19,0
3082.71,1.25,2908.7,797.23,2111.47
1103488.85,144991.21,620344.26,438024.44,182319.82
250678.16,32114.27,129230.25,64711.23,64519.02
2841.29,27.75,2631.39,2631.39,0
22122.61,564.97,11293.91,4751.26,6542.65
21623.61,1775.21,9158.51,9074.7,83.81
30044.2,15.95,28925.15,28907.37,17.78
4934.21,7.22,4083.25,1050,3033.25
164137.04,31267.65,67432.96,50963.98,16468.98
13896.65,51.92,8831.16,8824.49,6.67
25025,303.25,19953.63,996.03,18957.6
21044.41,5229.44,15519.43,15488.25,31.18
25731.81,11850.59,11275.63,551.17,10724.46
18985.89,766.98,12299.27,1146.24,11153.03
180253.26,3467.06,124087.1,109113,14974.1
10398.91,282.24,9660.85,9660.85,0
25590.34,9524.47,15951.85,15635.18,316.67
8976.09,139.95,7523.68,5339.72,2183.96
4455.27,682.39,3570.46,1867.31,1703.15
62337.67,8390.23,36142.19,36097.73,44.46
4520.86,0,3029.92,10,3019.92
3626.55,398.22,3224.32,1155.56,2068.76
8917.5,104.37,6312.99,1601.56,4711.43
3722.76,353.11,3369.65,2418.72,950.93
237711.39,14885.87,189214.19,186448.83,2765.36
16939.38,6,16652.03,16652.03,0
4382.2,1487.35,2776.59,1185.55,1591.04
10290.71,2207.93,6271.08,6267.02,4.06
2644.9,225.97,2307.95,2304.62,3.33
49505.09,4305.53,27406.37,16105.53,11300.84
10297.07,89.79,5747.2,5319.2,428
10361.33,597.65,4549.05,3554.8,994.25
7034.37,1965.07,2645.56,2645.56,0
12594.87,819.66,4905,4871.67,33.33
17686.1,6727.84,3043.99,3043.99,0
15261.11,132.44,12171.16,10955.01,1216.15
183857.14,38447.04,136324.59,122121.81,14202.78
58686.47,4163.56,41513.94,21717.79,19796.15
5157.52,101.21,3948.97,101.11,3847.86
3223.81,0,3113.94,958.29,2155.65
1217680.36,94279.26,863843.93,647239.76,216359.41
162321.68,29482.82,74117.56,36399.26,37715.36
25777.67,2208.27,17861.96,17821.27,40.69
12131.04,542.58,11484.84,5283.46,6201.38
28078.4,4681.33,22959.42,22690.02,269.4
17404.84,142.97,8736.09,8736.09,0
3245.58,1.27,2208.15,1853.15,355
215742.94,11683.16,176974.2,167900.81,9073.39
63884.71,4071.65,43274.22,29216.82,14057.4
16746.82,5150.82,2229.69,2229.69,0
8210.37,1426.49,4331.38,3427.78,903.6
